"Rank","City","Country","Quality of Life Index","Purchasing Power Index","Safety Index","Health Care Index","Cost of Living Index","Property Price to Income Ratio","Traffic Commute Time Index","Pollution Index","Climate Index"
"125","Bucharest","Romania","128.7","74.3","72","54.8","41.3","9.5","40.9","75.2","75.6"
"126","Kuala Lumpur","Malaysia","128.4","95.4","38.8","68.6","33.9","7.6","41.6","65.4","56.6"
"127","Monterrey","Mexico","127.5","59.5","51.8","69","48.2","8.3","31.8","71.2","80.4"
"128","Ahmedabad","India","124.5","63.4","67.9","67.2","22.8","7.9","39","72.5","49.3"
"129","Moscow","Russia","123.5","76.5","64.2","67.1","38.9","18.8","50.4","55.2","55.8"
"130","Guadalajara","Mexico","122.2","47.9","37.5","80","41.2","14.4","41.8","58.9","92.8"
"131","Amman","Jordan","120.9","45.3","61.5","65.1","42.7","7.8","40.3","77.2","89"
"132","Athens","Greece","120.2","52.8","44.1","57","53.5","15","38.8","56.7","95.2"
"133","Beijing","China","119.8","110.1","73.6","68.7","35","30.6","43.6","77.9","57.6"
"134","Medellin","Colombia","119.5","34.7","46.4","78.4","31.2","17.5","38.7","63.3","99.8"
"135","Yerevan","Armenia","116.8","34","77.7","57.3","42.1","20.1","29.8","60.7","63.4"
"136","Milan","Italy","116.7","60.4","48.7","71.5","67.4","20.3","35.8","67.2","88.1"
"137","Panama City","Panama","116.5","43.6","52.8","58.8","47.6","11.5","32.8","61.4","67.8"
"138","Tbilisi","Georgia","115.9","35.6","74.4","55.1","35.7","14","40.6","71.7","84.2"
"139","Delhi","India","115.8","121.7","41.1","66.5","23.9","8.2","57.8","90.3","58.9"
"140","Quito","Ecuador","115.8","40.3","37","70.1","34.6","13","40.1","65.1","99"
"141","Saint Petersburg","Russia","115.7","62.6","61.5","61.3","34.2","16.2","48.5","61.3","60.6"
"142","Thessaloniki","Greece","115.5","47.7","46.3","55.4","53.6","14.4","29.9","65.5","88.4"
"143","Shanghai","China","114.7","93.4","71.3","64.4","36.5","37.2","47","71.5","83.6"
"144","Belgrade","Serbia","114.2","51.3","61.9","53.2","42.1","18.8","36.4","68","84.1"
"145","Baku","Azerbaijan","114.1","38.5","69.5","47.7","32.8","14.1","37.3","74.4","91.4"
"146","Istanbul","Turkey","113.7","49.4","52.2","70","39.1","16.1","51.4","68.1","93"
"147","Belo Horizonte","Brazil","112.8","28.7","39.4","64.7","30.3","17.6","43.6","52","98.5"
"148","Odessa (Odesa)","Ukraine","109.2","40.4","45.9","51","27.2","13.9","36.6","62.6","79"
"149","Skopje","NorthMacedonia","108.9","53.3","53.2","54.7","34.6","13.8","27.3","83.2","76.3"
"150","Kolkata","India","106.6","69","54","59.8","21.1","8.2","59.4","78.4","60.9"
